pin,slack
led_o_obuf[1]/U_IOPAD:PAD,
counter_cry[1]:B,17639
counter_cry[1]:CC,18121
counter_cry[1]:P,17639
counter_cry[1]:S,18121
counter_cry[1]:Y3,
counter_cry[1]:Y3A,
counter[14]:ALn,
counter[14]:CLK,17828
counter[14]:D,17770
counter[14]:Q,17828
counter_cry[12]:B,17806
counter_cry[12]:CC,17850
counter_cry[12]:P,17806
counter_cry[12]:S,17850
counter_cry[12]:Y3,
counter_cry[12]:Y3A,
clk_i_ibuf/U_IOPAD:PAD,
clk_i_ibuf/U_IOPAD:Y,
counter[21]:ALn,
counter[21]:CLK,17936
counter[21]:D,17774
counter[21]:Q,17936
counter_cry[24]:B,17897
counter_cry[24]:CC,17746
counter_cry[24]:P,17897
counter_cry[24]:S,17746
counter_cry[24]:Y3,
counter_cry[24]:Y3A,
counter[4]:ALn,
counter[4]:CLK,17712
counter[4]:D,17869
counter[4]:Q,17712
counter_s_1_CC_0:CC[0],
counter_s_1_CC_0:CC[10],17823
counter_s_1_CC_0:CC[11],17793
counter_s_1_CC_0:CC[1],18121
counter_s_1_CC_0:CC[2],18088
counter_s_1_CC_0:CC[3],17920
counter_s_1_CC_0:CC[4],17869
counter_s_1_CC_0:CC[5],17841
counter_s_1_CC_0:CC[6],17900
counter_s_1_CC_0:CC[7],17854
counter_s_1_CC_0:CC[8],17819
counter_s_1_CC_0:CC[9],17876
counter_s_1_CC_0:CO,17639
counter_s_1_CC_0:P[0],17696
counter_s_1_CC_0:P[10],17795
counter_s_1_CC_0:P[11],17843
counter_s_1_CC_0:P[1],17639
counter_s_1_CC_0:P[2],17724
counter_s_1_CC_0:P[3],17772
counter_s_1_CC_0:P[4],17712
counter_s_1_CC_0:P[5],17790
counter_s_1_CC_0:P[6],17760
counter_s_1_CC_0:P[7],17729
counter_s_1_CC_0:P[8],17783
counter_s_1_CC_0:P[9],17832
counter_s_1_CC_0:Y3A[0],
counter_s_1_CC_0:Y3A[10],
counter_s_1_CC_0:Y3A[11],
counter_s_1_CC_0:Y3A[1],
counter_s_1_CC_0:Y3A[2],
counter_s_1_CC_0:Y3A[3],
counter_s_1_CC_0:Y3A[4],
counter_s_1_CC_0:Y3A[5],
counter_s_1_CC_0:Y3A[6],
counter_s_1_CC_0:Y3A[7],
counter_s_1_CC_0:Y3A[8],
counter_s_1_CC_0:Y3A[9],
counter_s_1_CC_0:Y3[0],
counter_s_1_CC_0:Y3[10],
counter_s_1_CC_0:Y3[11],
counter_s_1_CC_0:Y3[1],
counter_s_1_CC_0:Y3[2],
counter_s_1_CC_0:Y3[3],
counter_s_1_CC_0:Y3[4],
counter_s_1_CC_0:Y3[5],
counter_s_1_CC_0:Y3[6],
counter_s_1_CC_0:Y3[7],
counter_s_1_CC_0:Y3[8],
counter_s_1_CC_0:Y3[9],
counter[28]:ALn,
counter[28]:CLK,18124
counter[28]:D,17668
counter[28]:Q,18124
counter[5]:ALn,
counter[5]:CLK,17790
counter[5]:D,17841
counter[5]:Q,17790
reset_n_i_ibuf/U_IOPAD:PAD,
reset_n_i_ibuf/U_IOPAD:Y,
counter_cry[8]:B,17783
counter_cry[8]:CC,17819
counter_cry[8]:P,17783
counter_cry[8]:S,17819
counter_cry[8]:Y3,
counter_cry[8]:Y3A,
counter_cry[16]:B,17816
counter_cry[16]:CC,17772
counter_cry[16]:P,17816
counter_cry[16]:S,17772
counter_cry[16]:Y3,
counter_cry[16]:Y3A,
counter_cry[10]:B,17795
counter_cry[10]:CC,17823
counter_cry[10]:P,17795
counter_cry[10]:S,17823
counter_cry[10]:Y3,
counter_cry[10]:Y3A,
counter_cry[5]:B,17790
counter_cry[5]:CC,17841
counter_cry[5]:P,17790
counter_cry[5]:S,17841
counter_cry[5]:Y3,
counter_cry[5]:Y3A,
counter_cry[3]:B,17772
counter_cry[3]:CC,17920
counter_cry[3]:P,17772
counter_cry[3]:S,17920
counter_cry[3]:Y3,
counter_cry[3]:Y3A,
counter[12]:ALn,
counter[12]:CLK,17806
counter[12]:D,17850
counter[12]:Q,17806
counter_cry[17]:B,17894
counter_cry[17]:CC,17743
counter_cry[17]:P,17894
counter_cry[17]:S,17743
counter_cry[17]:Y3,
counter_cry[17]:Y3A,
counter[1]:ALn,
counter[1]:CLK,17639
counter[1]:D,18121
counter[1]:Q,17639
led_o_obuf[4]/U_IOTRI:D,
led_o_obuf[4]/U_IOTRI:DOUT,
led_o_obuf[4]/U_IOTRI:EOUT,
led_o_obuf[6]/U_IOTRI:D,
led_o_obuf[6]/U_IOTRI:DOUT,
led_o_obuf[6]/U_IOTRI:EOUT,
counter[3]:ALn,
counter[3]:CLK,17772
counter[3]:D,17920
counter[3]:Q,17772
reset_n_i_ibuf/U_IOIN:Y,
reset_n_i_ibuf/U_IOIN:YIN,
counter[23]:ALn,
counter[23]:CLK,17941
counter[23]:D,17690
counter[23]:Q,17941
counter[19]:ALn,
counter[19]:CLK,17833
counter[19]:D,17751
counter[19]:Q,17833
led_o_obuf[6]/U_IOPAD:D,
led_o_obuf[6]/U_IOPAD:E,
led_o_obuf[6]/U_IOPAD:PAD,
counter[20]:ALn,
counter[20]:CLK,17887
counter[20]:D,17717
counter[20]:Q,17887
counter_cry[9]:B,17832
counter_cry[9]:CC,17876
counter_cry[9]:P,17832
counter_cry[9]:S,17876
counter_cry[9]:Y3,
counter_cry[9]:Y3A,
counter_cry[28]:B,18124
counter_cry[28]:CC,17668
counter_cry[28]:P,18124
counter_cry[28]:S,17668
counter_cry[28]:Y3,
counter_cry[28]:Y3A,
led_o_obuf[2]/U_IOTRI:D,
led_o_obuf[2]/U_IOTRI:DOUT,
led_o_obuf[2]/U_IOTRI:EOUT,
counter[27]:ALn,
counter[27]:CLK,18077
counter[27]:D,17719
counter[27]:Q,18077
counter[11]:ALn,
counter[11]:CLK,17843
counter[11]:D,17793
counter[11]:Q,17843
counter[18]:ALn,
counter[18]:CLK,17864
counter[18]:D,17799
counter[18]:Q,17864
counter_cry[2]:B,17724
counter_cry[2]:CC,18088
counter_cry[2]:P,17724
counter_cry[2]:S,18088
counter_cry[2]:Y3,
counter_cry[2]:Y3A,
counter_cry[14]:B,17828
counter_cry[14]:CC,17770
counter_cry[14]:P,17828
counter_cry[14]:S,17770
counter_cry[14]:Y3,
counter_cry[14]:Y3A,
led_o_obuf[5]/U_IOPAD:D,
led_o_obuf[5]/U_IOPAD:E,
led_o_obuf[5]/U_IOPAD:PAD,
counter_cry[4]:B,17712
counter_cry[4]:CC,17869
counter_cry[4]:P,17712
counter_cry[4]:S,17869
counter_cry[4]:Y3,
counter_cry[4]:Y3A,
counter_cry[25]:B,17835
counter_cry[25]:CC,17700
counter_cry[25]:P,17835
counter_cry[25]:S,17700
counter_cry[25]:Y3,
counter_cry[25]:Y3A,
I_1/U0_RGB1:A,
I_1/U0_RGB1:Y,
I_1/U0:A,
I_1/U0:Y,
led_o_obuf[3]/U_IOTRI:D,
led_o_obuf[3]/U_IOTRI:DOUT,
led_o_obuf[3]/U_IOTRI:EOUT,
counter_cry[23]:B,17941
counter_cry[23]:CC,17690
counter_cry[23]:P,17941
counter_cry[23]:S,17690
counter_cry[23]:Y3,
counter_cry[23]:Y3A,
led_o_obuf[0]/U_IOTRI:D,
led_o_obuf[0]/U_IOTRI:DOUT,
led_o_obuf[0]/U_IOTRI:EOUT,
counter_s_1:B,17696
counter_s_1:CC,
counter_s_1:P,17696
counter_s_1:Y3,
counter_s_1:Y3A,
counter_cry[19]:B,17833
counter_cry[19]:CC,17751
counter_cry[19]:P,17833
counter_cry[19]:S,17751
counter_cry[19]:Y3,
counter_cry[19]:Y3A,
counter[26]:ALn,
counter[26]:CLK,17918
counter[26]:D,17666
counter[26]:Q,17918
counter[13]:ALn,
counter[13]:CLK,17743
counter[13]:D,17804
counter[13]:Q,17743
counter[0]:ALn,
counter[0]:CLK,17696
counter[0]:D,18366
counter[0]:Q,17696
led_o_obuf[5]/U_IOTRI:D,
led_o_obuf[5]/U_IOTRI:DOUT,
led_o_obuf[5]/U_IOTRI:EOUT,
counter[10]:ALn,
counter[10]:CLK,17795
counter[10]:D,17823
counter[10]:Q,17795
led_o_obuf[4]/U_IOPAD:D,
led_o_obuf[4]/U_IOPAD:E,
led_o_obuf[4]/U_IOPAD:PAD,
counter_s_1_CC_2:CC[0],17746
counter_s_1_CC_2:CC[1],17700
counter_s_1_CC_2:CC[2],17666
counter_s_1_CC_2:CC[3],17719
counter_s_1_CC_2:CC[4],17668
counter_s_1_CC_2:CC[5],17639
counter_s_1_CC_2:CI,17639
counter_s_1_CC_2:P[0],17897
counter_s_1_CC_2:P[1],17835
counter_s_1_CC_2:P[2],17918
counter_s_1_CC_2:P[3],18077
counter_s_1_CC_2:P[4],18124
counter_s_1_CC_2:P[5],
counter_s_1_CC_2:Y3A[0],
counter_s_1_CC_2:Y3A[1],
counter_s_1_CC_2:Y3A[2],
counter_s_1_CC_2:Y3A[3],
counter_s_1_CC_2:Y3A[4],
counter_s_1_CC_2:Y3A[5],
counter_s_1_CC_2:Y3[0],
counter_s_1_CC_2:Y3[1],
counter_s_1_CC_2:Y3[2],
counter_s_1_CC_2:Y3[3],
counter_s_1_CC_2:Y3[4],
counter_s_1_CC_2:Y3[5],
counter[9]:ALn,
counter[9]:CLK,17832
counter[9]:D,17876
counter[9]:Q,17832
counter[25]:ALn,
counter[25]:CLK,17835
counter[25]:D,17700
counter[25]:Q,17835
led_o[7],
led_o[6],
led_o[5],
led_o[4],
led_o[3],
led_o[2],
led_o[1],
led_o[0],
clk_i,
reset_n_i,
